"netustm","gender","age","married","urban","native","edulevel","paidwork","happy","household","cntry"
30,"male",73,"not married","rural","native","Grundskole",0,5,1,"BE"
NA,"male",52,"not married","rural","non-native","Gymnasium",1,6,1,"BE"
NA,"male",34,"not married","rural","native","Kort/Mellemlang videregående",1,9,4,"BE"
NA,"female",49,"not married","urban","native","Erhvervsuddannelse",1,8,3,"BE"
120,"male",43,"married","rural","native","Kort/Mellemlang videregående",1,8,4,"BE"
8,"female",62,"married","urban","native","Kort/Mellemlang videregående",1,8,2,"BE"
150,"male",62,"married","rural","native","Erhvervsuddannelse",1,9,3,"BE"
270,"female",34,"not married","urban","native","Kort/Mellemlang videregående",1,9,2,"BE"
30,"female",53,"married","rural","native","Kort/Mellemlang videregående",1,8,2,"BE"
8,"male",71,"not married","rural","native","Lang videregående",1,8,1,"BE"
9,"female",29,"not married","rural","non-native","Lang videregående",1,7,2,"BE"
NA,"male",83,"not married","rural","native","Kort/Mellemlang videregående",0,8,1,"BE"
NA,"female",49,"married","urban","native","Lang videregående",1,7,4,"BE"
240,"female",38,"married","rural","native","Kort/Mellemlang videregående",1,9,4,"BE"
60,"female",54,"not married","rural","native","Kort/Mellemlang videregående",1,8,3,"BE"
10,"male",51,"not married","urban","non-native","Erhvervsuddannelse",1,7,2,"BE"
210,"male",57,"not married","urban","native","Lang videregående",1,7,3,"BE"
120,"female",25,"not married","urban","native","Lang videregående",1,9,2,"BE"
NA,"female",82,"not married","rural","native","Lang videregående",0,8,1,"BE"
10,"male",35,"not married","urban","native","Lang videregående",1,9,1,"BE"
300,"male",17,"not married","rural","native","Gymnasium",0,9,3,"BE"
150,"female",45,"married","rural","non-native","Kort/Mellemlang videregående",1,8,6,"BE"
120,"female",68,"married","rural","native","Erhvervsuddannelse",0,7,2,"BE"
90,"male",68,"not married","rural","non-native","Grundskole",0,9,2,"BE"
NA,"female",83,"married","rural","native","Erhvervsuddannelse",0,5,2,"BE"
180,"male",79,"married","rural","non-native","Kort/Mellemlang videregående",0,7,2,"BE"
120,"female",34,"not married","urban","native","Kort/Mellemlang videregående",1,9,3,"BE"
NA,"male",72,"married","rural","native","Erhvervsuddannelse",0,9,2,"BE"
150,"male",62,"married","rural","native","Gymnasium",0,6,3,"BE"
8,"male",54,"married","rural","non-native","Grundskole",1,10,5,"BE"
60,"male",37,"not married","rural","native","Kort/Mellemlang videregående",1,7,1,"BE"
NA,"male",38,"not married","rural","native","Lang videregående",1,7,4,"BE"
10,"male",47,"married","rural","native","Lang videregående",1,8,7,"BE"
28,"female",44,"not married","rural","native","Kort/Mellemlang videregående",1,10,4,"BE"
45,"male",43,"not married","rural","native","Lang videregående",1,8,3,"BE"
90,"female",29,"married","rural","native","Kort/Mellemlang videregående",0,9,3,"BE"
10,"female",27,"not married","urban","native","Lang videregående",1,8,1,"BE"
8,"male",42,"married","urban","non-native","Grundskole",1,10,4,"BE"
330,"female",24,"not married","rural","native","Erhvervsuddannelse",1,7,5,"BE"
120,"male",51,"not married","rural","native","Kort/Mellemlang videregående",1,10,3,"BE"
30,"female",67,"married","rural","native","Gymnasium",0,7,2,"BE"
7,"male",60,"married","rural","native","Erhvervsuddannelse",1,7,2,"BE"
10,"male",50,"married","urban","non-native","Lang videregående",1,8,2,"BE"
30,"female",54,"married","rural","native","Erhvervsuddannelse",0,7,2,"BE"
NA,"male",18,"not married","rural","native","Grundskole",0,6,3,"BE"
90,"male",62,"married","rural","native","Erhvervsuddannelse",1,8,2,"BE"
60,"female",75,"not married","urban","native","Erhvervsuddannelse",0,8,1,"BE"
0,"male",74,"married","rural","native","Erhvervsuddannelse",0,7,2,"BE"
60,"female",47,"not married","urban","native","Lang videregående",1,8,4,"BE"
NA,"female",73,"married","rural","native","Erhvervsuddannelse",0,4,4,"BE"
240,"male",16,"not married","rural","native","Gymnasium",0,8,3,"BE"
8,"female",54,"married","rural","native","Kort/Mellemlang videregående",1,8,3,"BE"
300,"female",38,"not married","rural","native","Lang videregående",1,8,2,"BE"
6,"female",52,"married","rural","native","Kort/Mellemlang videregående",1,7,5,"BE"
10,"male",46,"not married","rural","native","Kort/Mellemlang videregående",1,7,3,"BE"
NA,"female",54,"married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
180,"male",62,"married","rural","native","Lang videregående",1,8,2,"BE"
300,"female",47,"married","rural","native","Kort/Mellemlang videregående",1,10,5,"BE"
180,"male",64,"married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
120,"male",62,"not married","rural","native","Erhvervsuddannelse",1,8,2,"BE"
NA,"female",74,"married","rural","non-native","Gymnasium",0,8,3,"BE"
30,"female",26,"not married","rural","native","Erhvervsuddannelse",1,8,4,"BE"
120,"male",56,"married","rural","native","Kort/Mellemlang videregående",1,9,6,"BE"
NA,"female",81,"married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
240,"female",33,"not married","rural","non-native","Lang videregående",0,5,2,"BE"
45,"male",66,"married","rural","native","Erhvervsuddannelse",0,9,5,"BE"
9,"male",36,"married","urban","native","Lang videregående",1,8,3,"BE"
NA,"male",29,"not married","rural","native","Lang videregående",1,8,2,"BE"
180,"male",17,"not married","rural","native","Gymnasium",0,9,2,"BE"
120,"female",48,"not married","rural","native","Erhvervsuddannelse",0,1,1,"BE"
9,"male",44,"married","rural","native","Lang videregående",1,9,6,"BE"
60,"male",66,"married","urban","native","Gymnasium",0,5,4,"BE"
NA,"male",85,"married","rural","native","Gymnasium",0,9,2,"BE"
NA,"female",30,"not married","urban","native","Lang videregående",1,9,4,"BE"
6,"male",55,"married","rural","non-native","Lang videregående",1,9,5,"BE"
15,"male",73,"married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
90,"female",48,"married","rural","native","Gymnasium",0,8,8,"BE"
NA,"male",64,"married","rural","native","Erhvervsuddannelse",1,7,2,"BE"
300,"male",38,"married","urban","non-native","Erhvervsuddannelse",1,10,3,"BE"
150,"male",66,"married","rural","native","Kort/Mellemlang videregående",0,9,3,"BE"
180,"female",71,"not married","urban","non-native","Lang videregående",0,9,1,"BE"
240,"male",49,"not married","urban","non-native","Erhvervsuddannelse",1,9,2,"BE"
NA,"female",35,"married","rural","native","Lang videregående",1,7,5,"BE"
9,"female",53,"married","rural","native","Erhvervsuddannelse",1,9,2,"BE"
NA,"male",73,"not married","urban","native","Grundskole",0,10,1,"BE"
60,"female",56,"married","rural","native","Kort/Mellemlang videregående",1,8,2,"BE"
240,"male",57,"married","rural","native","Kort/Mellemlang videregående",1,9,3,"BE"
NA,"male",75,"married","rural","native","Erhvervsuddannelse",0,10,2,"BE"
30,"male",60,"not married","rural","native","Lang videregående",1,8,1,"BE"
240,"female",43,"not married","urban","native","Lang videregående",1,8,4,"BE"
60,"male",52,"married","rural","native","Kort/Mellemlang videregående",0,9,2,"BE"
NA,"male",17,"not married","rural","native","Gymnasium",0,9,3,"BE"
NA,"male",84,"married","rural","native","Erhvervsuddannelse",0,7,2,"BE"
NA,"male",66,"married","rural","non-native","Gymnasium",0,7,2,"BE"
240,"male",21,"not married","rural","non-native","Erhvervsuddannelse",1,7,3,"BE"
240,"male",70,"not married","urban","native","Gymnasium",0,9,2,"BE"
300,"male",24,"not married","rural","non-native","Erhvervsuddannelse",1,9,2,"BE"
240,"female",33,"married","rural","non-native","Kort/Mellemlang videregående",1,8,5,"BE"
60,"female",73,"married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
30,"female",51,"not married","rural","native","Erhvervsuddannelse",1,6,4,"BE"
300,"female",43,"married","rural","native","Kort/Mellemlang videregående",0,8,3,"BE"
55,"female",62,"married","urban","native","Erhvervsuddannelse",0,10,3,"BE"
270,"male",20,"not married","rural","native","Erhvervsuddannelse",0,8,4,"BE"
130,"male",67,"married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
240,"female",61,"married","rural","native","Kort/Mellemlang videregående",1,10,2,"BE"
10,"male",45,"married","urban","native","Lang videregående",1,8,4,"BE"
8,"male",32,"not married","rural","native","Kort/Mellemlang videregående",1,7,4,"BE"
NA,"female",32,"married","rural","non-native","Lang videregående",1,9,3,"BE"
NA,"female",42,"not married","rural","native","Lang videregående",1,9,4,"BE"
10,"male",61,"not married","rural","native","Erhvervsuddannelse",0,3,1,"BE"
NA,"male",70,"married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
30,"male",33,"married","rural","native","Kort/Mellemlang videregående",1,7,3,"BE"
NA,"female",79,"married","rural","native","Kort/Mellemlang videregående",0,8,2,"BE"
120,"male",36,"not married","urban","native","Lang videregående",1,8,4,"BE"
90,"male",19,"not married","rural","native","Erhvervsuddannelse",0,8,5,"BE"
240,"female",34,"not married","rural","native","Erhvervsuddannelse",1,6,5,"BE"
NA,"female",66,"not married","rural","native","Erhvervsuddannelse",0,7,2,"BE"
30,"female",52,"married","rural","native","Erhvervsuddannelse",1,8,3,"BE"
30,"female",70,"not married","urban","native","Grundskole",0,5,1,"BE"
10,"female",43,"married","urban","native","Lang videregående",1,9,3,"BE"
7,"female",22,"not married","rural","native","Kort/Mellemlang videregående",0,10,4,"BE"
270,"male",55,"not married","rural","native","Erhvervsuddannelse",1,8,3,"BE"
NA,"female",53,"not married","urban","native","Gymnasium",1,2,1,"BE"
180,"male",67,"not married","urban","native","Lang videregående",0,9,2,"BE"
6,"male",62,"married","urban","native","Kort/Mellemlang videregående",1,9,2,"BE"
120,"male",31,"not married","rural","native","Kort/Mellemlang videregående",1,9,2,"BE"
120,"female",22,"not married","rural","native","Kort/Mellemlang videregående",0,9,2,"BE"
120,"female",62,"not married","rural","native","Erhvervsuddannelse",0,9,1,"BE"
NA,"female",89,"married","urban","non-native","Erhvervsuddannelse",0,8,2,"BE"
120,"female",34,"married","rural","non-native","Erhvervsuddannelse",0,8,5,"BE"
NA,"female",63,"not married","rural","native","Kort/Mellemlang videregående",0,8,1,"BE"
90,"male",42,"not married","rural","native","Lang videregående",1,8,1,"BE"
NA,"female",90,"not married","rural","native","Kort/Mellemlang videregående",0,9,2,"BE"
180,"male",45,"married","rural","native","Erhvervsuddannelse",1,9,5,"BE"
60,"male",70,"married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
150,"male",79,"married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
7,"male",40,"not married","rural","native","Erhvervsuddannelse",1,7,1,"BE"
NA,"male",43,"married","rural","non-native","Lang videregående",1,9,4,"BE"
NA,"male",44,"married","urban","native","Erhvervsuddannelse",1,9,5,"BE"
NA,"male",67,"not married","rural","native","Erhvervsuddannelse",0,6,1,"BE"
180,"female",26,"not married","rural","non-native","Lang videregående",1,6,2,"BE"
120,"male",52,"not married","rural","native","Kort/Mellemlang videregående",1,6,1,"BE"
120,"female",56,"married","urban","native","Grundskole",0,5,2,"BE"
180,"female",31,"not married","urban","non-native","Lang videregående",1,10,1,"BE"
60,"male",53,"not married","urban","native","Erhvervsuddannelse",1,8,2,"BE"
NA,"female",89,"not married","urban","native","Gymnasium",0,5,1,"BE"
60,"female",31,"married","rural","non-native","Erhvervsuddannelse",1,10,2,"BE"
30,"female",49,"married","rural","non-native","Erhvervsuddannelse",1,10,2,"BE"
120,"female",64,"not married","rural","native","Gymnasium",0,8,2,"BE"
270,"female",20,"not married","rural","native","Erhvervsuddannelse",0,7,5,"BE"
NA,"female",52,"married","rural","non-native","Gymnasium",1,8,2,"BE"
270,"female",54,"not married","rural","native","Erhvervsuddannelse",1,8,3,"BE"
10,"male",36,"married","urban","non-native","Erhvervsuddannelse",0,8,4,"BE"
120,"male",56,"married","rural","non-native","Grundskole",0,8,5,"BE"
300,"female",19,"not married","rural","native","Erhvervsuddannelse",0,9,4,"BE"
NA,"male",38,"married","rural","native","Kort/Mellemlang videregående",1,8,2,"BE"
60,"female",60,"not married","rural","native","Kort/Mellemlang videregående",1,9,4,"BE"
90,"female",59,"married","rural","native","Erhvervsuddannelse",1,8,2,"BE"
120,"male",59,"not married","rural","native","Lang videregående",1,7,2,"BE"
180,"female",60,"married","rural","native","Kort/Mellemlang videregående",1,7,2,"BE"
NA,"female",57,"married","urban","non-native","Erhvervsuddannelse",1,5,3,"BE"
330,"male",54,"married","rural","native","Kort/Mellemlang videregående",1,8,3,"BE"
120,"female",51,"not married","urban","native","Lang videregående",1,8,3,"BE"
30,"female",46,"not married","rural","native","Erhvervsuddannelse",1,10,4,"BE"
150,"male",68,"married","rural","non-native","Erhvervsuddannelse",0,10,2,"BE"
9,"female",44,"married","urban","non-native","Lang videregående",1,7,4,"BE"
120,"female",37,"not married","rural","native","Lang videregående",0,7,3,"BE"
120,"male",39,"married","urban","non-native","Kort/Mellemlang videregående",1,8,5,"BE"
120,"female",71,"not married","urban","non-native","Grundskole",0,8,1,"BE"
60,"female",52,"married","rural","native","Kort/Mellemlang videregående",1,8,5,"BE"
8,"female",47,"not married","rural","native","Kort/Mellemlang videregående",1,8,3,"BE"
120,"male",73,"not married","rural","native","Gymnasium",0,10,1,"BE"
NA,"male",65,"married","rural","native","Gymnasium",0,0,2,"BE"
120,"female",59,"married","rural","native","Kort/Mellemlang videregående",1,8,2,"BE"
180,"female",28,"married","rural","native","Lang videregående",1,9,2,"BE"
NA,"female",70,"not married","urban","native","Grundskole",0,8,1,"BE"
30,"female",68,"married","urban","native","Erhvervsuddannelse",0,9,2,"BE"
150,"female",44,"not married","rural","native","Erhvervsuddannelse",0,2,6,"BE"
120,"female",41,"married","rural","native","Lang videregående",1,8,4,"BE"
10,"male",32,"not married","rural","native","Kort/Mellemlang videregående",1,9,4,"BE"
45,"male",67,"married","rural","native","Erhvervsuddannelse",0,7,2,"BE"
NA,"female",68,"not married","rural","native","Grundskole",0,8,2,"BE"
180,"male",69,"married","rural","non-native","Erhvervsuddannelse",0,9,3,"BE"
150,"male",79,"married","urban","native","Gymnasium",0,9,2,"BE"
150,"female",46,"not married","rural","native","Erhvervsuddannelse",1,8,3,"BE"
NA,"female",60,"married","rural","native","Erhvervsuddannelse",1,9,2,"BE"
240,"male",62,"married","rural","native","Erhvervsuddannelse",1,9,3,"BE"
180,"female",34,"not married","rural","native","Kort/Mellemlang videregående",1,7,4,"BE"
120,"female",31,"not married","rural","native","Kort/Mellemlang videregående",1,9,2,"BE"
60,"female",37,"not married","urban","non-native","Erhvervsuddannelse",1,9,4,"BE"
60,"female",68,"married","rural","native","Lang videregående",0,8,2,"BE"
240,"male",72,"married","rural","native","Kort/Mellemlang videregående",0,8,3,"BE"
60,"female",22,"not married","rural","native","Erhvervsuddannelse",1,9,2,"BE"
300,"female",58,"married","rural","native","Grundskole",0,7,2,"BE"
15,"female",58,"not married","rural","native","Erhvervsuddannelse",1,10,2,"BE"
NA,"male",29,"not married","rural","native","Lang videregående",1,7,5,"BE"
6,"male",49,"married","rural","native","Lang videregående",1,9,6,"BE"
180,"female",46,"married","rural","native","Erhvervsuddannelse",1,8,5,"BE"
8,"female",25,"not married","rural","native","Kort/Mellemlang videregående",1,8,2,"BE"
10,"female",49,"not married","rural","native","Lang videregående",1,7,3,"BE"
NA,"female",55,"married","rural","native","Gymnasium",1,8,2,"BE"
NA,"male",77,"married","urban","native","Lang videregående",1,7,2,"BE"
120,"male",48,"married","rural","native","Erhvervsuddannelse",1,9,4,"BE"
30,"male",43,"not married","rural","native","Erhvervsuddannelse",1,7,4,"BE"
180,"female",31,"married","rural","native","Erhvervsuddannelse",1,8,2,"BE"
45,"female",62,"married","urban","native","Kort/Mellemlang videregående",0,10,2,"BE"
6,"male",15,"not married","rural","native","Gymnasium",0,9,3,"BE"
210,"male",32,"not married","rural","native","Erhvervsuddannelse",1,6,4,"BE"
10,"female",58,"married","rural","native","Erhvervsuddannelse",1,8,2,"BE"
90,"female",63,"married","rural","native","Erhvervsuddannelse",1,7,2,"BE"
7,"female",19,"not married","rural","native","Erhvervsuddannelse",0,5,3,"BE"
9,"male",29,"not married","rural","native","Kort/Mellemlang videregående",1,8,5,"BE"
30,"female",49,"not married","urban","native","Erhvervsuddannelse",1,8,3,"BE"
300,"female",17,"not married","urban","native","Gymnasium",0,8,4,"BE"
6,"male",53,"married","rural","native","Lang videregående",1,9,4,"BE"
120,"male",33,"not married","rural","native","Erhvervsuddannelse",1,7,5,"BE"
NA,"female",83,"married","rural","native","Gymnasium",0,9,2,"BE"
10,"male",57,"married","urban","native","Lang videregående",1,8,4,"BE"
300,"female",22,"not married","rural","native","Erhvervsuddannelse",0,7,5,"BE"
300,"male",28,"not married","rural","native","Erhvervsuddannelse",1,8,4,"BE"
300,"female",76,"not married","rural","native","Lang videregående",0,8,1,"BE"
150,"male",74,"married","rural","native","Kort/Mellemlang videregående",0,7,2,"BE"
119,"female",76,"not married","rural","native","Kort/Mellemlang videregående",0,8,1,"BE"
330,"female",17,"not married","rural","native","Gymnasium",0,7,5,"BE"
300,"female",28,"not married","rural","native","Kort/Mellemlang videregående",1,9,2,"BE"
45,"male",73,"not married","urban","native","Lang videregående",0,9,2,"BE"
8,"female",40,"not married","rural","native","Lang videregående",1,6,1,"BE"
NA,"male",28,"not married","urban","native","Kort/Mellemlang videregående",1,8,1,"BE"
60,"male",61,"not married","rural","native","Kort/Mellemlang videregående",1,7,2,"BE"
10,"male",31,"not married","rural","native","Kort/Mellemlang videregående",1,8,2,"BE"
330,"female",17,"not married","rural","native","Gymnasium",0,8,2,"BE"
NA,"female",65,"not married","urban","native","Gymnasium",0,8,1,"BE"
120,"male",35,"married","rural","native","Kort/Mellemlang videregående",1,10,4,"BE"
10,"female",21,"not married","urban","native","Erhvervsuddannelse",0,7,5,"BE"
NA,"male",22,"not married","urban","native","Erhvervsuddannelse",0,5,3,"BE"
90,"male",59,"married","rural","native","Erhvervsuddannelse",1,8,2,"BE"
10,"male",40,"not married","rural","native","Lang videregående",1,10,3,"BE"
30,"male",51,"married","rural","native","Erhvervsuddannelse",1,9,4,"BE"
45,"male",63,"married","rural","native","Erhvervsuddannelse",0,7,2,"BE"
30,"male",63,"married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
10,"male",20,"not married","urban","native","Erhvervsuddannelse",0,9,4,"BE"
NA,"male",68,"married","urban","native","Erhvervsuddannelse",0,8,2,"BE"
10,"female",56,"not married","urban","non-native","Kort/Mellemlang videregående",1,9,1,"BE"
60,"female",45,"not married","rural","native","Kort/Mellemlang videregående",1,8,1,"BE"
9,"female",30,"not married","rural","native","Lang videregående",1,8,2,"BE"
300,"male",24,"not married","urban","native","Gymnasium",0,7,5,"BE"
NA,"female",89,"not married","rural","native","Grundskole",0,9,1,"BE"
150,"male",75,"married","rural","native","Lang videregående",0,9,2,"BE"
NA,"male",85,"not married","rural","native","Erhvervsuddannelse",0,7,1,"BE"
NA,"female",72,"married","rural","native","Gymnasium",0,10,2,"BE"
120,"male",71,"married","rural","native","Kort/Mellemlang videregående",0,9,2,"BE"
NA,"male",47,"not married","rural","native","Erhvervsuddannelse",1,5,1,"BE"
60,"male",36,"not married","rural","native","Erhvervsuddannelse",1,9,4,"BE"
6,"female",19,"not married","urban","native","Erhvervsuddannelse",0,9,5,"BE"
120,"female",59,"married","rural","native","Erhvervsuddannelse",1,8,3,"BE"
120,"male",20,"not married","urban","native","Erhvervsuddannelse",0,8,3,"BE"
NA,"male",76,"married","rural","native","Gymnasium",0,9,2,"BE"
10,"male",27,"not married","rural","native","Lang videregående",1,8,3,"BE"
NA,"female",89,"married","urban","native","Grundskole",0,8,2,"BE"
120,"male",70,"married","rural","native","Lang videregående",0,8,3,"BE"
6,"female",62,"married","rural","native","Erhvervsuddannelse",1,7,3,"BE"
6,"male",39,"married","rural","non-native","Kort/Mellemlang videregående",0,10,7,"BE"
NA,"female",18,"not married","rural","native","Lang videregående",0,9,6,"BE"
300,"male",30,"not married","urban","native","Erhvervsuddannelse",1,9,3,"BE"
10,"male",42,"married","rural","native","Lang videregående",1,8,4,"BE"
6,"female",52,"married","rural","native","Kort/Mellemlang videregående",1,10,2,"BE"
30,"female",65,"married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
60,"female",73,"not married","rural","native","Erhvervsuddannelse",0,5,1,"BE"
10,"male",28,"not married","rural","native","Lang videregående",1,10,3,"BE"
60,"female",78,"married","rural","native","Gymnasium",0,9,3,"BE"
120,"female",43,"married","rural","native","Lang videregående",1,8,4,"BE"
180,"male",52,"not married","rural","native","Lang videregående",1,8,4,"BE"
60,"female",55,"not married","rural","native","Erhvervsuddannelse",1,8,3,"BE"
90,"female",36,"married","rural","native","Erhvervsuddannelse",1,9,2,"BE"
60,"male",30,"not married","rural","native","Erhvervsuddannelse",1,7,4,"BE"
9,"male",33,"not married","urban","non-native","Lang videregående",1,8,2,"BE"
30,"female",44,"married","urban","native","Gymnasium",0,6,5,"BE"
300,"female",40,"not married","rural","non-native","Erhvervsuddannelse",1,9,4,"BE"
NA,"female",82,"married","rural","native","Gymnasium",0,10,2,"BE"
45,"male",32,"not married","urban","native","Erhvervsuddannelse",1,8,2,"BE"
240,"male",16,"not married","rural","native","Gymnasium",0,9,4,"BE"
10,"female",56,"married","rural","native","Lang videregående",1,7,2,"BE"
240,"male",83,"married","urban","non-native","Lang videregående",0,10,2,"BE"
7,"male",39,"married","rural","native","Kort/Mellemlang videregående",1,8,4,"BE"
240,"male",58,"not married","rural","non-native","Erhvervsuddannelse",1,7,4,"BE"
8,"male",38,"married","rural","native","Kort/Mellemlang videregående",0,7,3,"BE"
NA,"female",68,"married","rural","native","Gymnasium",0,8,2,"BE"
120,"male",45,"married","rural","native","Erhvervsuddannelse",1,8,5,"BE"
10,"female",32,"not married","urban","native","Lang videregående",1,9,2,"BE"
6,"female",30,"married","urban","non-native","Gymnasium",1,8,3,"BE"
120,"female",60,"not married","rural","native","Erhvervsuddannelse",1,8,2,"BE"
30,"female",49,"married","rural","native","Kort/Mellemlang videregående",1,8,4,"BE"
180,"male",24,"not married","rural","native","Lang videregående",0,9,2,"BE"
NA,"male",56,"married","rural","native","Gymnasium",0,7,4,"BE"
240,"female",49,"not married","urban","native","Lang videregående",1,9,6,"BE"
NA,"female",33,"not married","urban","non-native","Lang videregående",1,6,1,"BE"
NA,"male",52,"not married","rural","non-native","Kort/Mellemlang videregående",1,8,3,"BE"
240,"male",24,"not married","urban","native","Erhvervsuddannelse",0,8,4,"BE"
120,"female",36,"not married","urban","native","Lang videregående",1,8,2,"BE"
120,"male",46,"not married","urban","non-native","Erhvervsuddannelse",1,8,3,"BE"
300,"female",49,"not married","rural","non-native","Lang videregående",1,7,2,"BE"
6,"male",17,"not married","urban","native","Grundskole",0,10,6,"BE"
10,"male",32,"not married","urban","non-native","Kort/Mellemlang videregående",1,7,5,"BE"
10,"female",43,"not married","rural","native","Gymnasium",0,5,7,"BE"
150,"male",45,"not married","rural","native","Erhvervsuddannelse",1,7,3,"BE"
60,"female",40,"married","rural","non-native","Lang videregående",1,8,6,"BE"
120,"male",79,"married","rural","non-native","Kort/Mellemlang videregående",0,8,2,"BE"
210,"female",62,"not married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
15,"female",59,"not married","urban","native","Erhvervsuddannelse",0,8,1,"BE"
NA,"male",63,"not married","rural","native","Erhvervsuddannelse",0,8,1,"BE"
NA,"male",75,"married","rural","native","Lang videregående",1,8,2,"BE"
6,"female",60,"married","rural","non-native","Kort/Mellemlang videregående",1,8,4,"BE"
240,"male",68,"not married","rural","native","Erhvervsuddannelse",0,7,1,"BE"
8,"female",45,"married","rural","native","Lang videregående",1,10,5,"BE"
120,"male",16,"not married","urban","native","Gymnasium",0,7,4,"BE"
60,"female",77,"married","urban","native","Kort/Mellemlang videregående",0,8,2,"BE"
300,"male",53,"not married","urban","native","Lang videregående",1,6,2,"BE"
NA,"female",73,"married","rural","native","Erhvervsuddannelse",0,9,2,"BE"
120,"male",51,"married","rural","native","Kort/Mellemlang videregående",1,8,3,"BE"
150,"male",41,"not married","rural","native","Erhvervsuddannelse",1,8,4,"BE"
150,"male",53,"not married","rural","non-native","Erhvervsuddannelse",1,9,2,"BE"
NA,"male",43,"not married","urban","native","Lang videregående",0,4,1,"BE"
60,"male",65,"married","urban","native","Grundskole",0,NA,2,"BE"
240,"female",22,"not married","rural","native","Kort/Mellemlang videregående",1,8,4,"BE"
10,"male",34,"not married","rural","native","Lang videregående",1,9,3,"BE"
120,"male",57,"married","rural","native","Erhvervsuddannelse",1,9,3,"BE"
8,"female",22,"not married","rural","native","Kort/Mellemlang videregående",0,9,5,"BE"
180,"female",34,"not married","rural","native","Erhvervsuddannelse",1,8,4,"BE"
60,"male",40,"not married","rural","native","Kort/Mellemlang videregående",1,8,2,"BE"
6,"male",53,"married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
240,"female",27,"not married","rural","non-native","Kort/Mellemlang videregående",1,3,3,"BE"
300,"male",52,"married","rural","native","Kort/Mellemlang videregående",1,7,4,"BE"
8,"male",30,"not married","rural","native","Erhvervsuddannelse",1,9,3,"BE"
6,"male",61,"not married","rural","native","Lang videregående",1,8,3,"BE"
10,"female",33,"married","rural","native","Erhvervsuddannelse",1,9,3,"BE"
60,"female",50,"married","rural","native","Kort/Mellemlang videregående",1,10,5,"BE"
NA,"male",72,"not married","urban","native","Lang videregående",0,8,1,"GB"
NA,"female",83,"married","rural","native","Kort/Mellemlang videregående",0,9,2,"GB"
NA,"male",69,"married","rural","native","Grundskole",0,5,2,"GB"
180,"female",21,"not married","rural","non-native","Erhvervsuddannelse",0,8,2,"GB"
NA,"female",64,"married","urban","native","Gymnasium",1,4,2,"GB"
NA,"female",70,"not married","urban","native","Grundskole",0,8,1,"GB"
180,"female",51,"married","urban","native","Kort/Mellemlang videregående",1,6,2,"GB"
60,"male",86,"not married","rural","native","Kort/Mellemlang videregående",0,8,1,"GB"
180,"female",41,"not married","rural","native","Erhvervsuddannelse",1,7,2,"GB"
120,"male",57,"married","rural","native","Gymnasium",0,9,3,"GB"
450,"male",62,"not married","rural","native","Erhvervsuddannelse",1,9,1,"GB"
180,"female",67,"married","urban","native","Gymnasium",1,9,2,"GB"
65,"female",72,"not married","urban","native","Kort/Mellemlang videregående",0,7,1,"GB"
750,"male",19,"not married","rural","native","Gymnasium",1,7,5,"GB"
300,"male",46,"not married","urban","native","Lang videregående",1,7,1,"GB"
540,"male",37,"married","rural","native","Kort/Mellemlang videregående",1,7,4,"GB"
480,"male",55,"married","rural","native","Lang videregående",1,7,4,"GB"
NA,"male",73,"not married","rural","native","Grundskole",0,8,1,"GB"
660,"male",27,"not married","urban","native","Kort/Mellemlang videregående",1,7,1,"GB"
240,"male",28,"not married","rural","native","Erhvervsuddannelse",1,4,1,"GB"
1080,"male",52,"not married","rural","native","Erhvervsuddannelse",1,5,1,"GB"
270,"male",15,"not married","rural","native","Grundskole",0,10,5,"GB"
NA,"female",70,"married","urban","native","Kort/Mellemlang videregående",0,10,2,"GB"
120,"female",44,"married","rural","non-native","Kort/Mellemlang videregående",1,9,4,"GB"
60,"female",76,"married","urban","native","Erhvervsuddannelse",0,3,2,"GB"
300,"male",26,"married","rural","non-native","Erhvervsuddannelse",1,5,3,"GB"
120,"female",52,"married","rural","native","Gymnasium",1,9,2,"GB"
NA,"male",81,"married","rural","native","Grundskole",0,1,2,"GB"
NA,"male",85,"not married","urban","native","Grundskole",0,8,1,"GB"
120,"male",63,"married","rural","native","Erhvervsuddannelse",1,10,2,"GB"
240,"female",28,"not married","rural","native","Gymnasium",1,8,2,"GB"
660,"male",30,"not married","urban","native","Kort/Mellemlang videregående",1,6,3,"GB"
NA,"female",76,"married","rural","non-native","Kort/Mellemlang videregående",0,9,2,"GB"
240,"female",74,"married","rural","non-native","Lang videregående",0,9,1,"GB"
60,"male",34,"married","urban","native","Erhvervsuddannelse",1,8,4,"GB"
60,"male",89,"not married","rural","non-native","Grundskole",0,9,1,"GB"
